TCM_ID,SMILES
MOL006229,C=C(C)[C@H]1CC[C@H](CO[C@@H]2O[C@H](O)[C@@H](O)[C@H](O)[C@H]2O)CC1
MOL010607,CC1=CC(=O)C[C@H]1C
MOL002513,CC(C)=CCC[C@@H](C)c1ccc(C)c(O)c1
MOL013302,C=C[C@@H]1[C@@H](O)OC=C2C(=O)O[C@@H](OC(=O)[C@@H](C)CCC/C(C)=C\CO)C[C@@H]21
MOL006803,C[C@@H]1CO[C@]2(C[C@@H]1OC(=O)c1ccccc1)O[C@@H]1C[C@H](C(=O)O[C@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)C[C@@H](O)[C@]1(O)C2=O
MOL004994,CC[C@@H](C)CCCCCCCCCCC(=O)OC
MOL002143,CCC/C=C1/OC(=O)c2ccc(O)cc21
MOL005686,COC1=C[C@H](C)O[C@H](O[C@H]2CC[C@@]3(C)C(=CC[C@H]4[C@H]3CC[C@]3(C)[C@H]4CC[C@]3(O)[C@H](C)O)C2)C1=O
MOL011295,COC(=O)[C@H](C)CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O
MOL012840,O=C1O[C@H](/C=C/C=C/CCO)c2c(O)cc3cc(CO)sc3c21
MOL007341,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
MOL000484,Oc1cc(O)cc(O)c1
MOL003302,CC(=O)O[C@H]1CC[C@@H]2C(C(=O)O)=CO[C@@H](O)[C@H]12
MOL012513,CC1(C)CC[C@]2(C(=O)O)CC[C@@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]43C)[C@@H]2C1
MOL006100,CC1(C)CC[C@]2(CO)[C@@H](CO)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1
MOL002840,C=C[C@]1(C)C=C2CC[C@@H]3[C@](C)(CCC[C@@]3(C)C(=O)O)[C@H]2CC1
MOL004097,C[C@@H](CO)c1oc(=O)cc2c1[C@@H](O)[C@@H]1OC(=O)[C@@]3(C)CC[C@@H](O)[C@@]2(C)[C@H]13
MOL003752,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O)CC[C@@]45C[C@@]35CC[C@]12C
MOL010484,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C
MOL012143,O=c1c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12
MOL001295,C=C1C[C@]23CC[C@@H]4C(C)(C)CCC[C@@]4(C)[C@@H]2CC[C@H]1C3
MOL006550,C[C@@H]1O[C@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](OCCc4ccc(O)cc4)O[C@H](CO)[C@H]3OC(=O)/C=C\c3ccc(O)cc3)O[C@H]2C)[C@H](O)[C@H](O)[C@H]1O
MOL012456,C[C@@H](CO)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C
MOL000892,COc1cc(/C=C\C(=O)CC(=O)/C=C\c2ccc(O)c(OC)c2)ccc1O
MOL006045,COC(=O)[C@]12CCC(C)(C)C[C@H]1C1=CC[C@@H]3[C@@]4(C)C[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]5O)[C@](C)(CO)[C@H]4CC[C@@]3(C)[C@]1(C)C[C@@H]2O
MOL004078,CC1=C2[C@@H](O)[C@H]3C[C@H](O)[C@@H](C)[C@]2(C[C@@H]1O)C3(C)C
MOL001780,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
MOL003247,COc1c(C(C)C)cc(O)c2c1CC[C@@H]1C(C)(C)C(=O)CC[C@@]21C
MOL004582,Cc1cccc2ccccc12
MOL010191,C[C@@H]1CC[C@@H]2N(C1)C[C@@H]1[C@H]3C[C@@H]4[C@@H](CC(=O)[C@@H]5C[C@@H](O[C@H]6O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]6O)CC[C@@]45C)[C@@H]3CC[C@@H]1[C@@]2(C)O
MOL008958,C/C=C(\C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc(OC)c(OC)c2OC)C[C@H](C)[C@]1(C)O
MOL012006,CC(=O)OC(C)(C)[C@H]1O[C@@]23O[C@@H]1C[C@@H](C)[C@@H]2[C@@]1(C)CC[C@@]24C[C@@]25CC[C@H](O)C(C)(C)[C@H]5CC=C4[C@]1(C)[C@H]3O
MOL006415,O=c1ccc2ccc(O)c(CCO)c2o1
MOL004428,COc1cc2c(ccc3cc(O)c(OC)c(OC)c32)cc1O
MOL000938,C[C@@H]1CCC=C2CC[C@@H]3[C@@H](C3(C)C)[C@]21C
