IMPHY_ID,SMILES
IMPHY000151,Oc1ccc(c(c1)O)C1COc2c(C1=O)ccc1c2C=CC(O1)(C)C
IMPHY000152,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC[C@@H]2[C@]1(C)CC[C@@H](C2)OC(=O)/C=C/c1ccc(c(c1)OC)O)C
IMPHY000153,CC(=O)O[C@H]1[C@@H](O[C@H]([C@@H]([C@H]1OC(=O)C)O)C)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(cc1)O
IMPHY000154,OC[C@H]1O[C@@H](Oc2cc3oc(cc(=O)c3c(c2OC)O)c2ccc(c(c2)OC)O)[C@@H]([C@H]([C@@H]1O)O)O
IMPHY000155,CC(=O)O[C@@H]1C[C@@H]2[C@]([C@@H]3[C@]1(C)C1=CC[C@H]([C@@]1(CC3)C)c1ccoc1)(C)C=CC(=O)C2(C)C
IMPHY000156,OC[C@@H](Cc1ccc(c(c1)OC)O)/C=C/c1ccc(c(c1)OC)O
IMPHY000157,O=CCCCCCCCCCCCCC1=C[C@@H](OC1=O)C
IMPHY000158,OCc1c(CO)cnc(c1O)C
IMPHY000159,O[C@H]1[C@H]2[C@@H](OC1(C)C)Oc1c2c(O)c(cc1)C(=O)/C=C/c1ccccc1
IMPHY000160,CC(=O)CC[C@H]1C(=C)CCC2[C@]1(C)CCC[C@]2(C)C(=O)O
IMPHY000161,CC(C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(OC(=O)C(N(C(=O)C(OC(=O)C(N(C1=O)C)Cc1ccccc1)C(C)C)C)Cc1ccccc1)C(C)C)C
IMPHY000162,COC[C@H]1Cc2cc(OC)c(cc2[C@H]([C@@H]1COC)c1ccc(c(c1)OC)OC)OC
IMPHY000163,O=C1C=CC2(O1)CCC12C=CC(=O)O1
IMPHY000164,COc1c(CC=C(C)C)c2OC(CC(=O)c2c(c1CC=C(C)C)O)c1ccc(c(c1)O)O
IMPHY000165,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
IMPHY000166,O[C@H]1CC[C@]2(C(=CCC3C2CC[C@]2([C@]3(O)CCC2C2=CC(=O)OC2)C)C1)C
IMPHY000167,CCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CCCCC[C@H](CCCCCC[C@@H]1CC(C(=O)O1)CC(=O)C)O)O)O
IMPHY000168,COc1ccc(cc1)c1cc(=O)c2c(o1)cc(c(c2O)O)O
IMPHY000169,CCCCC[C@H]1CCC[C@H]2N1CCOC(=O)C2
IMPHY000170,COc1ccc2c(c1)C13CCC=CC1=CC(=O)N3CC2
IMPHY000171,CC(C12CCC(OO1)(C=C2)C)C
IMPHY000172,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](C2=NC[C@](CC2)(C)O)C)C)C1)C
IMPHY000173,OC1CC2(C(C1C)C2)C(C)C
IMPHY000174,CC([C@@H]1CC[C@@](O1)(C)[C@H]1CC[C@@]2([C@@H]1CC[C@H]1[C@@]2(C)CC[C@@H]2[C@@]31CCC(OC3)(C2(C)C)O)C)(O)C
IMPHY000175,OC[C@]1(O)C[C@@]23C[C@H]1CC[C@H]3[C@]1([C@H](CC2)[C@](C)(O)CCC1)C
IMPHY000176,COc1cc(O[C@@H]2O[C@H](CO[C@@H]3OC[C@]([C@H]3O)(O)CO)[C@H]([C@@H]([C@H]2O)O)O)cc(c1OC)OC
IMPHY000177,CCCCCCCCCCCCC(=O)OCC(CO)O
IMPHY000178,SCC(C)C
IMPHY000179,OCC1(CO)CC(=O)C[C@@]2([C@@H]1C[C@H](O)C1=C[C@](CC[C@@H]21)(C)C=C)C
IMPHY000180,C=C[C@]1(C)CC[C@@H]2C(=C1)CC[C@H]1[C@@]2(C)CC(=O)C[C@]1(C)CO
IMPHY000181,CCCCOC1(CO)OC[C@H]([C@H]([C@@H]1O)O)O
IMPHY000182,CC[C@H]([C@@H](C(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccccc2)C(=O)N/C=Cc2ccc(O[C@H]1C(C)C)cc2)N(C)C)C
IMPHY000183,OC[C@H]1O[C@@H](OC)[C@@H]([C@H]([C@@H]1C[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)O)O
IMPHY000184,CC1=C/C(=C[C@H]([C@H]2CC[C@@]3([C@]2(C)CC=C2C3=CC[C@@H]3[C@]2(C)CC[C@H](C3(C)C)O)C)C)/OC1=O
IMPHY000185,COc1cc(CCCOC(=O)C)cc(c1OC)OC
IMPHY000186,O=C1OC[C@H]2C1=C[C@@H]1O[C@@H]1c1c2cc2C(=O)O[C@H](c2c1C)c1cocc1
IMPHY000187,O[C@H]1C[C@]2(C)[C@@H]([C@@]3([C@@H]1[C@@H](CC3)C(O)(C)C)C)[C@H](O)C[C@H]1[C@@]2(C)CC[C@@H]2[C@]1(C)CC[C@@H](C2(C)C)O
IMPHY000188,CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC
IMPHY000189,CC(=CC(=O)O)C
IMPHY000190,CO[C@@H]1C[C@H](O[C@H]2CC[C@]3([C@H](C2)CC[C@@]24[C@@H]3[C@H](OC(=O)/C(=C/C)/C)[C@@H](OC(=O)/C(=C/C)/C)[C@]3([C@]4(O2)CC[C@H]3C(=O)C)C)C)O[C@@H]([C@H]1O[C@@H]1O[C@H](C)[C@H]([C@H]([C@H]1O)OC)O[C@@H]1O[C@H](CO)[C@H]([C@@H]([C@H]1O)O)O)C
IMPHY000191,COc1cc2c(c3ccc(c(c3)O)O)c(Cc3ccc(c(c3OC)O)O)c3c(c2c(c1=O)OC)cc1c(o3)cc(c(c1)O)O
IMPHY000192,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCc1ccc(cc1)O
IMPHY000193,CC(=O)O[C@@H]1OC[C@@]23C([C@@]1(C)[C@H](OC(=O)C)C[C@@H]2O)C[C@H]([C@@]1([C@@H]3C(=O)[C@H](OC(=O)C)[C@@]2(C1=CC[C@H]2c1ccoc1)C)C)O
IMPHY000194,C=CC1(CCC=C(C1)/C=C/C1C(=C)CCC2C1(C)CCCC2(C)C(=O)O)/C=C/C1C(=C)CCC2C1(C)CCCC2(C)C(=O)O
IMPHY000195,COc1c(OC)cc2c3c1Oc1cc4c(cc1OC)CCN([C@H]4Cc1ccc(Oc4cc(C(=O)C3=NCC2)ccc4O)cc1)C
IMPHY000196,OC[C@]12C=C[C@@]3(C(=CC[C@H]4[C@@]3(C)CC[C@@H]3[C@]4(C)CC[C@@H](C3(C)C)O)[C@@H]2CC([C@@H]([C@@H]1O)O)(C)C)C
